"ID","Tanggal","Judul","Kategori","Brand","Format","Status","Platform","Catatan","Hook AI","Caption Draft","Hastags","Link Referensi","Link Post Asli","Reach","Tayangan","Likes","Comments","Saves","Shares","Total Interaks","ER %","Tipe Iklan","Biaya Iklan","Goal","Goal Desc","Column 1","Column 28","Column 29","Column 30","Column 31","Column 32"
"Jan-20","2026-01-20","Vid Recap BPPTKG versi 2","Event","GIM","Video / Reels","Completed","","Recap kegiatan BPPTKG part 2","","","","","","","","","","","","0.00","0","","","","","","","","","",""
"Jan-23","2026-01-23","Vid Report - Visit BIG (Badan Informasi Geospasial)","Event","GIM","Video / Reels","Completed","","Laporan kunjungan ke kantor BIG","","","","","","","","","","","","0.00","0","","","","","","","","","",""
"Jan-26","2026-01-26","Vid Promo - Product/Service Bathymetry Artaboat v.2","Promo","Artaboat / Hydrotech","Video / Reels","Completed","Instagram","Promosi alat survei batimetri USV Artaboat","","","","","","","","","","","","0.00","0","","","","","","","","","",""
"Feb-4","2026-02-04","Feed promo produk - Topcon LN","Promo","Topcon","Feed / Post","Completed","Instagram","Promo Total Station & Layout Navigator Topcon LN","","","","","","","","","","","","0.00","0","","","","","","","","","",""
"","2026-02-05","Iklan M3E + DRTK 3","Promo","DJI Enterprise","Feed / Post","Completed","Instagram","Paket Drone DJI Matrice 3 Enterprise + D-RTK 3","","","","","","","","","","","","0.00","0","","","","","","","","","",""
"","2026-02-05","Video Pembelian M4E","Promo","DJI Enterprise","Video / Reels","Completed","Instagram","Showcase drone DJI Matrice 4 Enterprise","","","","","","","","","","","","0.00","0","","","","","","","","","",""
"","2026-02-07","Iklan IBase + I76 + i89","Promo","CHC Navigation","Feed / Post","Completed","Instagram","Paket GNSS RTK CHC IBase, I76 & i89 Visual Survey","","","","","","","","","","","","0.00","0","","","","","","","","","",""
"","2026-02-07","Education _Cors FJD N10 (Global) - apa itu cors, pengenalan produk, spek","Education","FJDynamics","Carousel","Completed","Instagram","Edukasi stasiun CORS FJD N10 & fitur unggulannya","","","","","","","","","","","","0.00","0","","","","","","","","","",""
"","2026-02-08","Iklan L300 - Alphageo","Promo","AlphaGeo","Feed / Post","Completed","","Promo GNSS RTK Alphageo L300","","","","","","","","","","","","0.00","0","","","","","","","","","",""
"","2026-02-08","Education _V4ELidar (Global)","Education","FJD Trion","Carousel","Completed","","Edukasi sensor V4E LiDAR pemetaan 3D","","","","","","","","","","","","0.00","0","","","","","","","","","",""
"Feb-9","2026-02-09","Iklan CHC CTS A-100","Promo","CHC Navigation","Feed / Post","Completed","Instagram","Total Station CHC CTS A-100","","","","","","","","","","","","0.00","0","","","","","","","","","",""
"Feb-11","2026-02-11","Iklan FJD V1T (base) + V10A Rover","Promo","FJDynamics","Feed / Post","Completed","Instagram","Paket Base & Rover FJD GNSS RTK","","","","","","","","","","","","0.00","0","","","","","","","","","",""
"Feb-12","2026-02-12","Hasil Uji V4E LiDAR","Education","FJD Trion","Feed / Post","Completed","","Showcase akurasi dan point cloud V4E LiDAR","","","","","","","","","","","","0.00","0","","","","","","","","","",""
"Feb-13","2026-02-13","Pengenalan V4E + V4E Pro","Product","FJD Trion","Carousel","Completed","Instagram","Perbandingan fitur V4E vs V4E Pro","","","","","","","","","","","","0.00","0","","","","","","","","","",""
"Feb-14","2026-02-14","Cors FJD - Lebih dalam","Education","FJDynamics","Carousel","Completed","","Pembahasan teknis jaringan CORS FJD","","","","","","","","","","","","0.00","0","","","","","","","","","",""
"","2026-02-15","Iklan M3E + DRTK 3","Promo","DJI Enterprise","Feed / Post","Completed","Instagram","Promo Drone Pemetaan M3E","","","","","","","","","","","","0.00","0","","","","","","","","","",""
"","2026-02-15","Video Part I - China","Event","GIM","Video / Reels","Completed","Instagram","Dokumentasi kunjungan industri ke pabrik di China","","","","","","","","","","","","0.00","0","","","","","","","","","",""
"","2026-02-16","Iklan V4e","Promo","FJD Trion","Feed / Post","Completed","","Promo LiDAR Handheld / Drone V4E","","","","","","","","","","","","0.00","0","","","","","","","","","",""
"","2026-02-16","Pengenalan V10A, fitur","Product","FJDynamics","Carousel","Completed","Instagram","Fitur kamera AR visual positioning V10A","","","","","","","","","","","","0.00","0","","","","","","","","","",""
"","2026-02-17","Tahun Baru Imlek 2577 K","Holiday","GIM","Feed / Post","Completed","Instagram","Greeting Hari Raya Imlek","","","","","","","","","","","","0.00","0","","","","","","","","","",""
"","2026-02-17","Iklan IBase + I76 + i89 (Special Imlek)","Promo","CHC Navigation","Feed / Post","Completed","Instagram","Promo diskon khusus Tahun Baru Imlek","","","","","","","","","","","","0.00","0","","","","","","","","","",""
"Feb-18","2026-02-18","Greeting - Selamat Menunaikan Ibadah Puasa Ramadhan","Holiday","GIM","Feed / Post","Completed","Instagram","Greeting Awal Bulan Ramadhan","","","","","","","","","","","","0.00","0","","","","","","","","","",""
"Feb-19","2026-02-19","Pengenalan CHC CTS A-100","Product","CHC Navigation","Carousel","Completed","Instagram","Ulasan fitur Total Station CHC CTS A-100","","","","","","","","","","","","0.00","0","","","","","","","","","",""
"Feb-20","2026-02-20","Iklan CHC CTS A-100 (Special Ramadhan)","Promo","CHC Navigation","Feed / Post","Completed","","Promo Ramadhan Total Station","","","","","","","","","","","","0.00","0","","","","","","","","","",""
"","2026-02-21","Advance I - Webgis","Education","GIM Learning","Carousel","Completed","Instagram","Materi WebGIS Tingkat Lanjut Part 1","","","","","","","","","","","","0.00","0","","","","","","","","","",""
"","2026-02-21","Iklan FJD V1T (base) + V10A Rover (Special Ramadhan)","Promo","FJDynamics","Feed / Post","Completed","Instagram","Promo Ramadhan GNSS RTK FJD","","","","","","","","","","","","0.00","0","","","","","","","","","",""
"Feb-22","2026-02-22","Iklan V4e (Special Ramadhan)","Promo","FJD Trion","Feed / Post","Completed","Instagram","Promo Ramadhan LiDAR V4E","","","","","","","","","","","","0.00","0","","","","","","","","","",""
"Feb-23","2026-02-23","Video Unboxing Cors FJD N10","Product","FJDynamics","Video / Reels","Completed","Instagram","Unboxing dan setup awal stasiun CORS","","","","","","","","","","","","0.00","0","","","","","","","","","",""
"Feb-24","2026-02-24","Iklan M3E + DRTK 3 (Special Ramadhan)","Promo","DJI Enterprise","Feed / Post","Completed","Instagram","Promo drone survei DJI Ramadhan","","","","","","","","","","","","0.00","0","","","","","","","","","",""
"Feb-25","2026-02-25","Video V4E LiDAR in Action","Education","FJD Trion","Video / Reels","Completed","Instagram","Praktek pengambilan data point cloud di lapangan","","","","","","","","","","","","0.00","0","","","","","","","","","",""
"Feb-26","2026-02-26","Iklan IBase + I76 + i89 (Special Ramadhan)","Promo","CHC Navigation","Feed / Post","Completed","Instagram","Promo GNSS CHC Ramadhan","","","","","","","","","","","","0.00","0","","","","","","","","","",""
"","2026-02-27","Iklan Satlab GNSS RTK","Promo","Satlab","Feed / Post","Completed","Instagram","Promo receiver Satlab Geodesi","","","","","","","","","","","","0.00","0","","","","","","","","","",""
"","2026-02-27","Advance II - Webgis","Education","GIM Learning","Carousel","Completed","Instagram","Materi WebGIS Tingkat Lanjut Part 2 (GeoServer & Leaflet)","","","","","","","","","","","","0.00","0","","","","","","","","","",""
"Feb-28","2026-02-28","Iklan CHC CTS A-100 (Special Ramadhan)","Promo","CHC Navigation","Feed / Post","Completed","Instagram","Penutupan promo Ramadhan CHC","","","","","","","","","","","","0.00","0","","","","","","","","","",""
"Mar-7","2026-03-07","Advance III - Webgis","Education","GIM Learning","Carousel","Planned","Instagram","Materi WebGIS Lanjutan Part 3","","","","","","","","","","","","0.00","0","","","","","","","","","",""
"Mar-14","2026-03-14","Advance IV - Webgis","Education","GIM Learning","Carousel","Planned","Instagram","Materi WebGIS Lanjutan Part 4 (Deployment & Dashboard)","","","","","","","","","","","","0.00","0","","","","","","","","","",""
"Mar-19","2026-03-19","Hari Raya Nyepi Tahun Baru Saka 1948","Holiday","GIM","Feed / Post","Planned","Instagram","Greeting Hari Raya Nyepi","","","","","","","","","","","","0.00","0","","","","","","","","","",""
"Mar-21","2026-03-21","Hari Raya Idul Fitri 1447 H","Holiday","GIM","Feed / Post","Planned","Instagram","Ucapan Selamat Hari Raya Idul Fitri","","","","","","","","","","","","0.00","0","","","","","","","","","",""
"Apr-2","2026-04-02","Pelatihan Offline V4E LiDAR","Webinar","FJD Trion","Webinar / Training","Planned","Instagram","Workshop pelatihan langsung penggunaan LiDAR V4E","","","","","","","","","","","","0.00","0","","","","","","","","","",""
"Apr-3","2026-04-03","Wafat Yesus Kristus","Holiday","GIM","Feed / Post","Planned","Instagram","Hari Libur Nasional","","","","","","","","","","","","0.00","0","","","","","","","","","",""
"Apr-5","2026-04-05","Kebangkitan Yesus Kristus (Paskah)","Holiday","GIM","Feed / Post","Planned","Instagram","Greeting Hari Paskah","","","","","","","","","","","","0.00","0","","","","","","","","","",""
"Apr-6","2026-04-06","Posting FJDTrion V4e LiDAR (Buffer)","Product","FJD Trion","Feed / Post","Planned","Instagram","Konten buffer V4e LiDAR","","","","","","","","","","","","0.00","0","","","","","","","","","",""
"","2026-04-08","Upload Feeds DJI Kit","Promo","DJI Retail","Feed / Post","Planned","Instagram","Koleksi aksesoris dan DJI kit","","","","","","","","","","","","0.00","0","","","","","","","","","",""
"","2026-04-08","Upload Feeds DJI Mini 4 Pro","Product","DJI Retail","Feed / Post","Planned","Instagram","Spesifikasi DJI Mini 4 Pro","","","","","","","","","","","","0.00","0","","","","","","","","","",""
"","2026-04-10","Revisi & Uploads Feeds DJI Kit","Promo","DJI Retail","Feed / Post","Planned","Instagram","Upload final feeds paket DJI","","","","","","","","","","","","0.00","0","","","","","","","","","",""
"","2026-04-10","Revisi & Upload Feeds DJI Mini 4 Pro","Product","DJI Retail","Feed / Post","Planned","Instagram","Posting bundle Mini 4 Pro","","","","","","","","","","","","0.00","0","","","","","","","","","",""
"Apr-11","2026-04-11","Tips & Trick AutoCAD Pemetaan","Education","GIM Learning","Carousel","Planned","Instagram","Tips pengolahan gambar ukur di AutoCAD Civil 3D","","","","","","","","","","","","0.00","0","","","","","","","","","",""
"","2026-04-12","Complete ASSETS Fasih","Product","GIM","Feed / Post","Planned","Instagram","Showcase asset library Fasih pemetaan","","","","","","","","","","","","0.00","0","","","","","","","","","",""
"","2026-04-12","Posting SATLAB x GIM Partnership","Event","Satlab","Feed / Post","Planned","Instagram","Kolaborasi resmi Satlab Geodesi dan GIM","","","","","","","","","","","","0.00","0","","","","","","","","","",""
"","2026-04-13","Upload Drive Specs n Package DJI Mini (3, 4K, 4 Pro) dan Neo","Product","DJI Retail","Carousel","Planned","Instagram","Perbandingan seri DJI Mini & Neo","","","","","","","","","","","","0.00","0","","","","","","","","","",""
"","2026-04-13","Upload Drive Specs n Package DJI Avata 2 dan Flip","Product","DJI Retail","Feed / Post","Planned","Instagram","FPV Drone Avata 2 showcase","","","","","","","","","","","","0.00","0","","","","","","","","","",""
"","2026-04-13","Prepare n Uploads DJI Consumer (by demand) Shopee","Promo","DJI Retail","Feed / Post","Planned","Instagram","Katalog marketplace Shopee","","","","","","","","","","","","0.00","0","","","","","","","","","",""
"","2026-04-15","Upload Drive Specs n Package DJI Osmo (360, Action 4, Mobile 78)","Product","DJI Retail","Feed / Post","Planned","Instagram","Seri Osmo Pocket, Action & Mobile","","","","","","","","","","","","0.00","0","","","","","","","","","",""
"","2026-04-15","Upload Drive Specs n Package DJI Mic Mini","Product","DJI Retail","Feed / Post","Planned","Instagram","Spesifikasi DJI Mic Mini untuk creator survei","","","","","","","","","","","","0.00","0","","","","","","","","","",""
"May-1","2026-05-01","Hari Buruh Internasional (May Day)","Holiday","GIM","Feed / Post","Planned","Instagram","Greeting Hari Buruh","","","","","","","","","","","","0.00","0","","","","","","","","","",""
"May-14","2026-05-14","Kenaikan Yesus Kristus","Holiday","GIM","Feed / Post","Planned","Instagram","Hari Libur Nasional","","","","","","","","","","","","0.00","0","","","","","","","","","",""
"","2026-05-27","Hari Raya Idul Adha 1477 H","Holiday","GIM","Feed / Post","Planned","Instagram","Greeting Hari Raya Idul Adha","","","","","","","","","","","","0.00","0","","","","","","","","","",""
"","2026-05-27","USV Batimetri Hydrotech in Shallow Water","Education","Hydrotech","Video / Reels","Planned","Instagram","Penerapan USV untuk perairan dangkal","","","","","","","","","","","","0.00","0","","","","","","","","","",""
"May-31","2026-05-31","Hari Raya Waisak 2570 BE","Holiday","GIM","Feed / Post","Planned","Instagram","Greeting Hari Raya Waisak","","","","","","","","","","","","0.00","0","","","","","","","","","",""
"","2026-06-01","Hari Lahir Pancasila","Holiday","GIM","Feed / Post","Completed","Instagram","Greeting Hari Lahir Pancasila","","","","","","","","","","","","0.00","0","","","","","","","","","",""
"","2026-06-01","DJI Retail (Video NEO)","Product","DJI Retail","Video / Reels","Completed","Instagram","Review drone ultralight DJI NEO","","","","","","","","","","","","0.00","0","","","","","","","","","",""
"Jun-2","2026-06-02","Enterprise (M3E VS M4E)","Education","DJI Enterprise","Carousel","Completed","Instagram","Komparasi lengkap DJI M3E vs M4E untuk pemetaan","","","","","","","","","","","","0.00","0","","","","","","","","","",""
"Jun-3","2026-06-03","DJI Agriculture (T55 Drone Semprot)","Product","DJI Agriculture","Feed / Post","Completed","Instagram","Spesifikasi dan kapasitas drone semprot T55","","","","","","","","","","","","0.00","0","","","","","","","","","",""
"Jun-4","2026-06-04","CHC Navigation (Test Flight P60 & X500)","Product","CHC Navigation","Video / Reels","Completed","Instagram","Uji terbang drone VTOL CHC P60 & X500","","","","","","","","","","","","0.00","0","","","","","","","","","",""
"Jun-5","2026-06-05","FJDynamics (Mine Tunnel Scanning Tips)","Education","FJD Trion","Carousel","Completed","Instagram","Tips pemindaian lorong tambang bawah tanah tanpa GPS","","","","","","","","","","","","0.00","0","","","","","","","","","",""
"","2026-06-06","Satlab (Tutor Statik Data Processing)","Education","Satlab","Video / Reels","Completed","Instagram","Tutorial pengolahan data GNSS statik Satlab","","","","","","","","","","","","0.00","0","","","","","","","","","",""
"","2026-06-06","USV Sonar Bathymetry","Education","Hydrotech","Feed / Post","Completed","Instagram","Teknologi sonar untuk survei batimetri","","","","","","","","","","","","0.00","0","","","","","","","","","",""
"Jun-7","2026-06-07","Topcon GM Series: Apa Saja Keunggulannya?","Product","Topcon","Feed / Post","Completed","Instagram","Review Total Station Topcon GM series","","","","","","","","","","","","0.00","0","","","","","","","","","",""
"Jun-8","2026-06-08","Sokkia (iM Series: Apa Saja Fiturnya?)","Product","Sokkia","Feed / Post","Completed","Instagram","Spesifikasi Total Station Sokkia iM-50 & iM-100","","","","","","","","","","","","0.00","0","","","","","","","","","",""
"Jun-9","2026-06-09","Hi-Target vRTK: Keperluan Pemodelan 3D Photogrammetry","Education","Hi-Target","Carousel","Completed","Instagram","Pemanfaatan dual-camera vRTK untuk visual positioning","","","","","","","","","","","","0.00","0","","","","","","","","","",""
"Jun-10","2026-06-10","EFIX F8L Laser Pocket-Size IMU-RTK (Laser Fitur)","Product","EFIX","Feed / Post","Completed","Instagram","Pengukuran titik sulit tanpa prisma dengan Green Laser EFIX","","","","","","","","","","","","0.00","0","","","","","","","","","",""
"Jun-11","2026-06-11","QYSEA Underwater ROV Video Showcase","Product","QYSEA","Video / Reels","Completed","Instagram","Inspeksi bawah air dengan Drone ROV QYSEA Fifish","","","","","","","","","","","","0.00","0","","","","","","","","","",""
"Jun-12","2026-06-12","Leica: Lahirnya Standar Akurasi Modern - Warisan Heinrich Wild","Education","Leica Geosystems","Carousel","Completed","Instagram","Sejarah dan standar instrumen optik presisi tinggi Leica","","","","","","","","","","","","0.00","0","","","","","","","","","",""
"","2026-06-13","AlphaGeo L300: Spec dan Rekomendasi Penggunaan","Product","AlphaGeo","Feed / Post","Completed","Instagram","Panduan memilih konfigurasi receiver GNSS L300","","","","","","","","","","","","0.00","0","","","","","","","","","",""
"","2026-06-13","LoD (Level of Detail) dalam Pemetaan BIM","Education","GIM Learning","Carousel","Completed","Instagram","Edukasi konsep LoD 100 hingga LoD 500","","","","","","","","","","","","0.00","0","","","","","","","","","",""
"Jun-14","2026-06-14","Axioo Pongo 760 V2: Laptop Workstation untuk Olah Data GIS & LiDAR","Product","Axioo","Feed / Post","Completed","Instagram","Benchmark performa Axioo Pongo olah point cloud","","","","","","","","","","","","0.00","0","","","","","","","","","",""
"Jun-15","2026-06-15","Hydrotech: Apa sih Multibeam Echo Sounder?","Education","Hydrotech","Carousel","Completed","Instagram","Prinsip kerja MBES untuk pemetaan dasar laut akurasi tinggi","","","","","","","","","","","","0.00","0","","","","","","","","","",""
"","2026-06-16","Tahun Baru Islam 1448 H","Holiday","GIM","Feed / Post","Completed","Instagram","Greeting Tahun Baru Hijriyah","","","","","","","","","","","","0.00","0","","","","","","","","","",""
"","2026-06-16","DJI Retail Content Showcase","Promo","DJI Retail","Feed / Post","Completed","Instagram","Pilihan drone content creator","","","","","","","","","","","","0.00","0","","","","","","","","","",""
"Jun-17","2026-06-17","DJI Enterprise: Solusi Inspeksi Tower & Listrik","Education","DJI Enterprise","Feed / Post","Completed","Instagram","Inspeksi termal dan zoom tinggi","","","","","","","","","","","","0.00","0","","","","","","","","","",""
"Jun-18","2026-06-18","DJI Agri: Fakta Drone T100","Product","DJI Agriculture","Carousel","Completed","Instagram","Kapasitas muatan hingga 100 kg di perkebunan","","","","","","","","","","","","0.00","0","","","","","","","","","",""
"Jun-19","2026-06-19","CHC Navigation Hydrographic USV","Product","CHC Navigation","Video / Reels","Completed","Instagram","Uji coba perahu otonom batimetri CHC","","","","","","","","","","","","0.00","0","","","","","","","","","",""
"","2026-06-20","FJD V10A: Fitur & Keunggulan AR Visual Stakeout","Product","FJDynamics","Carousel","Completed","Instagram","Stakeout cepat dengan panduan visual AR di layar controller","","","","","","","","","","","","0.00","0","","","","","","","","","",""
"","2026-06-20","LoD Part 2: Dari Point Cloud ke Model 3D","Education","GIM Learning","Feed / Post","Completed","Instagram","Workflow export model BIM 3D","","","","","","","","","","","","0.00","0","","","","","","","","","",""
"Jun-21","2026-06-21","Satlab SL9 Promo Spesial Pertengahan Tahun","Promo","Satlab","Feed / Post","Completed","Instagram","Penawaran menarik receiver GNSS Satlab SL9","","","","","","","","","","","","0.00","0","","","","","","","","","",""
"Jun-22","2026-06-22","Topcon: Perbedaan Total Station Robotic vs Manual","Education","Topcon","Carousel","Completed","Instagram","Efisiensi satu surveyor dengan robotic total station","","","","","","","","","","","","0.00","0","","","","","","","","","",""
"Jun-23","2026-06-23","Sokkia iM-100 Series: Kombinasi Sempurna Keamanan Data USB dan Kecepatan Ukur Otomatis","Product","Sokkia","Feed / Post","Completed","Instagram","Keandalan EDM Sokkia iM-100","","","","","","","","","","","","0.00","0","","","","","","","","","",""
"Jun-24","2026-06-24","Hi-Target V200: GNSS RTK Ringkas Generasi Baru","Product","Hi-Target","Feed / Post","Completed","Instagram","Desain ultra-lightweight hanya 800g dengan IMU 60 derajat","","","","","","","","","","","","0.00","0","","","","","","","","","",""
"Jun-25","2026-06-25","EFIX F7: Mitos Kemampuan Sinyal di Bawah Kanopi Hutan","Education","EFIX","Carousel","Completed","Instagram","Pengujian tracking multi-konstelasi EFIX di area tertutup","","","","","","","","","","","","0.00","0","","","","","","","","","",""
"Jun-26","2026-06-26","QYSEA: Blue Economy & Pemantauan Konservasi Terumbu Karang","Education","QYSEA","Carousel","Completed","Instagram","Teknologi ROV untuk riset kelautan dan lingkungan","","","","","","","","","","","","0.00","0","","","","","","","","","",""
"Jun-27","2026-06-27","Leica: Digital Twin untuk Infrastruktur Cerdas","Education","Leica Geosystems","Carousel","Completed","Instagram","Integrasi terrestrial laser scanner dengan platform digital twin","","","","","","","","","","","","0.00","0","","","","","","","","","",""
"Jun-28","2026-06-28","AlphaGeo: Survei Presisi Canopy Tebal","Education","AlphaGeo","Feed / Post","Completed","Instagram","Teknologi pelacakan sinyal lemah pada receiver AlphaGeo","","","","","","","","","","","","0.00","0","","","","","","","","","",""
"Jun-29","2026-06-29","Axioo: Mengapa Hardware Pemrosesan Sama Pentingnya dengan Sensor Lapangan","Education","Axioo","Carousel","Completed","Instagram","Spesifikasi GPU dan CPU ideal untuk Agisoft & Pix4D","","","","","","","","","","","","0.00","0","","","","","","","","","",""
"Jun-30","2026-06-30","Hydrotech: Ilusi Kecepatan Suara di Perairan Berbeda Suhu","Education","Hydrotech","Carousel","Completed","Instagram","Pentingnya Sound Velocity Profiler (SVP) dalam batimetri","","","","","","","","","","","","0.00","0","","","","","","","","","",""
"Jul-1","2026-07-01","DJI Retail (LITO 1)","Product","DJI Retail","Feed / Post","Completed","Instagram","Showcase produk retail DJI","","","","","","","","","","","","0.00","0","","","","","","","","","",""
"Jul-2","2026-07-02","DJI Enterprise: Era Sensor Fusion (LiDAR + RGB + Thermal)","Education","DJI Enterprise","Carousel","Completed","Instagram","Penggabungan payload multi-sensor pada Zenmuse L2 / H30T","","","","","","","","","","","","0.00","0","","","","","","","","","",""
"Jul-3","2026-07-03","DJI Agri: Badai Angin Buatan & Penetrasi Droplet","Education","DJI Agriculture","Carousel","Completed","Instagram","Dinamika hembusan baling-baling drone terhadap penyerapan pupuk","","","","","","","","","","","","0.00","0","","","","","","","","","",""
"Jul-4","2026-07-04","CHC Navigation: Quick Guide Statik GNSS","Education","CHC Navigation","Feed / Post","Completed","Instagram","Panduan cepat pengukuran statik orde tinggi","","","","","","","","","","","","0.00","0","","","","","","","","","",""
"Jul-5","2026-07-05","FJDynamics: Quick Guide Convert RINEX Data","Education","FJDynamics","Feed / Post","Completed","Instagram","Cara mudah konversi raw log data ke standar RINEX 3.0","","","","","","","","","","","","0.00","0","","","","","","","","","",""
"Jul-6","2026-07-06","GNSS Satlab Eyr: Fitur Visual Positioning & Keunggulan Dual Camera","Product","Satlab","Carousel","Completed","Instagram","Kamera depan untuk stakeout visual dan kamera bawah untuk photogrammetry","","","","","","","","","","","","0.00","0","","","","","","","","","",""
"Jul-31","2026-07-31","Pelatihan M400 (Free) - Demo Terbang, Fitur, DJI Modify","Webinar","DJI Enterprise","Webinar / Training","Completed","Instagram","Workshop bersama Inneke Astrid (Halo Robotic)","","","","","","","","","","","","0.00","0","","","","","","","","","",""
"Aug-4","2026-08-04","Reels: Petunjuk Lokasi Event GPFE 2026 (Geospatial Expo)","Event","GIM","Video / Reels","Completed","Instagram","Panduan rute dan denah booth GIM di GPFE","","","","","","","","","","","","0.00","0","","","","","","","","","",""
"Aug-5","2026-08-05","Reels: RECAP DAY 1 GPFE 2026","Event","GIM","Video / Reels","Completed","Instagram","Suasana keseruan booth hari pertama pameran geodesi","","","","","","","","","","","","0.00","0","","","","","","","","","",""
"Aug-11","2026-08-11","Carousel: 7 Kesalahan GNSS RTK yang Membuat Koordinat Meleset","Education","GIM Learning","Carousel","Completed","Instagram","Edukasi tentang multipath, GDOP, tinggi antena, dan geoid","","","","","","6,074.00","11,090.00","383.00","0.00","102.00","23.00","508.00","8.36","Promoted (Ads)","Rp62,856","8","Messaging conversations started","","","","","",""
"Aug-17","2026-08-17","Dirgahayu Republik Indonesia Ke-81","Holiday","GIM","Feed / Post","Completed","Instagram","Peringatan Hari Kemerdekaan RI","","","","","","","","","","","","0.00","0","","","","","","","","","",""
"Aug-20","2026-08-21","Carousel: Things I Wish I Knew Sebelum Jadi Surveyor","Education","GIM Learning","Carousel","In Progress","Instagram","Cuaca adalah bagian pekerjaan, data salah = processing panjang, alat mahal != otomatis bagus","","","","","","","","","","","","0.00","0","","","","","","","","","",""
"Aug-23","2026-08-23","Carousel: 5 Hal yang Harus Kamu Pertimbangkan Sebelum Memilih Metode Survey","Education","GIM Learning","Carousel","Planned","Instagram","Biaya, luasan area, akurasi yang diminta, medan lapangan, waktu deadline","","","","","","","","","","","","0.00","0","","","","","","","","","",""
"Aug-25","2026-08-25","Maulid Nabi Muhammad SAW","Holiday","GIM","Feed / Post","Planned","Instagram","Greeting Hari Libur Keagamaan","","","","","","","","","","","","0.00","0","","","","","","","","","",""
"Aug-27","2026-08-27","Carousel: 7 Istilah Survey yang Wajib Anak Geodesi Tahu","Education","GIM Learning","Carousel","Planned","Instagram","Benchmark, Backsight, Foresight, Resection, Geoid Undulation, PPM, Epoch","","","","","","","","","","","","0.00","0","","","","","","","","","",""
"Aug-29","2026-08-29","Reel: Expectation vs Reality Survey Pakai Drone","Education","GIM Learning","Video / Reels","Planned","Instagram","Konten komedi edukatif tantangan terbang di lapangan","","","","","","","","","","","","0.00","0","","","","","","","","","",""
"Aug-31","2026-08-31","Reel: Sehari Jadi Surveyor di PT Geo Investama Mandiri","Event","GIM","Video / Reels","Planned","Instagram","Behind the scenes keseruan tim lapangan","","","","","","","","","","","","0.00","0","","","","","","","","","",""
"Oct-25","2026-10-25","Anniversary PT Geo Investama Mandiri Ke-7","Event","GIM","Feed / Post","Planned","Instagram","Perayaan 7 tahun dedikasi untuk industri geospasial Indonesia","","","","","","","","","","","","0.00","0","","","","","","","","","",""
"Dec-25","2026-12-25","Hari Raya Natal 2026","Holiday","GIM","Feed / Post","Planned","Instagram","Greeting Selamat Hari Raya Natal","","","","","","","","","","","","0.00","0","","","","","","","","","",""
"Dec-31","2026-12-31","Menyambut Tahun Baru 2027 & Year End Recap","Holiday","GIM","Video / Reels","Planned","Instagram","Recap pencapaian dan terobosan teknologi tahun 2026","","","","","","","","","","","","0.00","0","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","0.00","0","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","0.00","0","","","","","","","","","",""
